file: csv - 111: F04 vs. 
file: csv - 11199: B00.2 vs. B00.2)
file: csv - 11200: B27.- vs. B27.-)
file: csv - 11211: J36 vs. J36)
file: csv - 11212: J02.9 vs. J02.9)
file: csv - 11214: J02.0 vs. J02.0)
file: csv - 11218: B00.2 vs. B00.2)
file: csv - 11227: J05.- vs. J05.-)
file: csv - 11228: J38.5 vs. 
file: csv - 11235: J37.0 vs. J37.0)
file: csv - 11237: J11.1 vs. J11.1)
file: csv - 11241: J42 vs. J42)
file: csv - 11245: J37.1 vs. J37.1)
file: csv - 11253: J22 vs. J22)
file: csv - 11255: J11.1 vs. J11.1)
file: csv - 11268: A49.2 vs. A49.2)
file: csv - 11269: G00.0 vs. G00.0)
file: csv - 11270: J14 vs. J14)
file: csv - 11272: A49.2 vs. A49.2)
file: csv - 11273: G00.0 vs. G00.0)
file: csv - 11274: J14 vs. J14)
file: csv - 11290: A49.2 vs. A49.2)
file: csv - 11291: G00.0 vs. G00.0)
file: csv - 11292: J14 vs. J14)
file: csv - 11307: P35.0 vs. P35.0)
file: csv - 11308: J69.0 vs. 
file: csv - 11312: P24.9 vs. P24.9)
file: csv - 11313: J69.- vs. J69.-)
file: csv - 11314: P23.0 vs. P23.0)
file: csv - 11316: J84.9 vs. J84.9)
file: csv - 11317: J69.1 vs. J69.1)
file: csv - 11318: U04.9 vs. U04.9)
file: csv - 11327: P23.6 vs. P23.6)
file: csv - 11328: J15.3-J15.4 vs. J15.3-J15.4)
file: csv - 11331: P23.6 vs. P23.6)
file: csv - 11334: J16.0 vs. J16.0)
file: csv - 11335: P23.- vs. P23.-)
file: csv - 11336: A48.1 vs. A48.1)
file: csv - 11342: J15.3 vs. J15.3)
file: csv - 11343: J13 vs. J13)
file: csv - 11351: A70 vs. A70)
file: csv - 11352: B59 vs. B59)
file: csv - 11353: J18.9 vs. J18.9)
file: csv - 11354: P23.- vs. P23.-)
file: csv - 11359: A42.0 vs. A42.0)
file: csv - 11360: A22.1 vs. A22.1)
file: csv - 11361: A54.8 vs. A54.8)
file: csv - 11362: A43.0 vs. A43.0)
file: csv - 11363: A02.2 vs. A02.2)
file: csv - 11364: A21.2 vs. A21.2)
file: csv - 11365: A01.0 vs. A01.0)
file: csv - 11366: A37.- vs. A37.-)
file: csv - 11368: B25.0 vs. B25.0)
file: csv - 11369: B05.2 vs. B05.2)
file: csv - 11370: B06.8 vs. B06.8)
file: csv - 11371: B01.2 vs. B01.2)
file: csv - 11373: B44.0-B44.1 vs. B44.0-B44.1)
file: csv - 11374: B37.1 vs. B37.1)
file: csv - 11375: B38.0-B38.2 vs. B38.0-B38.2)
file: csv - 11376: B39.- vs. B39.-)
file: csv - 11378: B77.8 vs. B77.8)
file: csv - 11379: B65.- vs. B65.-)
file: csv - 11380: B58.3 vs. B58.3)
file: csv - 11382: A70 vs. A70)
file: csv - 11383: A78 vs. A78)
file: csv - 11384: I00 vs. I00)
file: csv - 11385: A69.8 vs. A69.8)
file: csv - 11387: J85.1 vs. J85.1)
file: csv - 11388: J70.2-J70.4 vs. J70.2 - J70.4
file: csv - 11389: J69.0 vs. 
file: csv - 11393: P24.9 vs. P24.9)
file: csv - 11394: J69.- vs. J69.-)
file: csv - 11395: P23.9 vs. P23.9)
file: csv - 11396: J84.9 vs. J84.9)
file: csv - 11397: J69.1 vs. J69.1)
file: csv - 11398: J84.1 vs. J84.1)
file: csv - 11399: J67-J70 vs. J67-J70)
file: csv - 11401: J21.- vs. J21.-)
file: csv - 11407: J44.1 vs. J44.1)
file: csv - 11408: J44.0 vs. J44.0)
file: csv - 11418: J40 vs. J40)
file: csv - 11419: J45.0 vs. J45.0)
file: csv - 11420: J42 vs. 
file: csv - 11424: J40 vs. J40)
file: csv - 11425: J42 vs. J42)
file: csv - 11426: J44.- vs. J42
file: csv - 11446: J06.9 vs. J06.9)
file: csv - 11450: J45.0 vs. J45.0)
file: csv - 11451: J31.0 vs. J31.0)
file: csv - 11472: J30.0 vs. J30.0)
file: csv - 11474: J00 vs. J00)
file: csv - 11480: J02.9 vs. J02.9)
file: csv - 11487: J01.- vs. J01.-)
file: csv - 11504: D14.0 vs. D14.0)
file: csv - 11517: I86.8 vs. I86.8)
